id_municipio,projecao_2033,inclinacao_aa,n_obs,classificacao_2033,sigla_uf,regiao,porte,populacao_urbana,tendencia_icr_sm_aa
1303106,150.0,4.323905723905783,9.0,on_track,AM,Norte,5-20 mil,17163.0,0.03149423783188902
1303205,118.08727272727265,1.3345454545454503,11.0,on_track,AM,Norte,5-20 mil,13158.0,-0.027097952650884074
1303304,100.00000000000003,-1.6589990140921437e-15,3.0,on_track,AM,Norte,5-20 mil,17349.0,
1303403,65.51320070345173,-1.2438008353483638,20.0,will_not_meet,AM,Norte,50-100 mil,79758.0,-0.12201062044109882
1303502,68.58560606060973,0.4030303030304913,4.0,will_not_meet,AM,Norte,5-20 mil,9907.0,0.17757244167073669
1303536,114.7537572254314,1.2598678777868972,11.0,on_track,AM,Norte,5-20 mil,18225.0,-0.29651290310147843
1303569,123.50173783515447,1.6964746772592287,5.0,on_track,AM,Norte,5-20 mil,16541.0,-0.6034073352005629
1303601,137.53043478261134,2.939130434782545,4.0,on_track,AM,Norte,5-20 mil,10037.0,-0.13915639555250392
1303700,0.0,-3.7642857142858093,3.0,will_not_meet,AM,Norte,5-20 mil,12364.0,-0.27637768603751967
1303809,136.52000000000044,2.2020000000000395,9.0,on_track,AM,Norte,20-50 mil,23647.0,-0.5602239876208097
1303908,62.702109974423706,-0.2894501278772854,16.0,will_not_meet,AM,Norte,5-20 mil,18537.0,-0.0800832885099098
1303957,88.8847819265768,-0.4151866959522966,13.0,will_not_meet,AM,Norte,5-20 mil,7915.0,-0.18467343082359125
1304005,104.56714285714293,0.3557142857142605,6.0,on_track,AM,Norte,<5 mil,4432.0,-0.015596297196428894
1304062,43.080754475701724,-0.29622762148345405,16.0,will_not_meet,AM,Norte,20-50 mil,47643.0,-0.1151636757201313
1304104,,,2.0,,AM,Norte,5-20 mil,9393.0,
1304203,125.66503979210665,1.589987006659047,13.0,on_track,AM,Norte,20-50 mil,48274.0,-0.3787883116029863
1304237,143.17009345794395,3.393457943925278,5.0,on_track,AM,Norte,5-20 mil,9920.0,0.0
1304260,,,1.0,,AM,Norte,5-20 mil,7908.0,
1304302,105.72634146341761,0.6921951219514111,13.0,on_track,AM,Norte,5-20 mil,9257.0,-0.02775060134049558
1304401,,,1.0,,AM,Norte,5-20 mil,13815.0,
1400027,98.78105263157903,0.02491228070175917,19.0,at_risk,RR,Norte,<5 mil,1772.0,-0.09865383460215005
1400050,99.63476923076934,0.03046153846154219,26.0,on_track,RR,Norte,<5 mil,4432.0,-0.11337458886153058
1400100,98.89938461538453,-0.021846153846157606,26.0,at_risk,RR,Norte,100-500 mil,426588.0,-0.4769052633918141
1400159,66.66984615384354,-1.662769230769343,26.0,will_not_meet,RR,Norte,<5 mil,4307.0,-0.11922025940136767
1400175,102.57000000000022,0.20157894736843832,19.0,on_track,RR,Norte,<5 mil,3126.0,-0.10875724914516294
1400209,82.3646837606841,-0.8276581196581068,26.0,will_not_meet,RR,Norte,5-20 mil,13423.0,-0.33442169707458724
1400233,100.14684210526337,0.05736842105264177,19.0,on_track,RR,Norte,<5 mil,4340.0,-0.10263484141200276
1400282,102.36421052631607,0.22385964912282172,19.0,on_track,RR,Norte,5-20 mil,5926.0,-0.008511039999883766
1400308,93.58895726495678,-0.30782905982908176,26.0,at_risk,RR,Norte,5-20 mil,11164.0,-0.13900546458055318
1400407,86.44492307692167,-0.6360000000000664,26.0,will_not_meet,RR,Norte,<5 mil,3043.0,-0.3437966796977323
1400456,101.27684210526357,0.14877192982458098,19.0,on_track,RR,Norte,5-20 mil,8700.0,-0.1816030433145217
1400472,103.78210526315797,0.5698245614035173,19.0,on_track,RR,Norte,5-20 mil,13798.0,-0.10692288540457717
1400506,57.085811965809626,-2.1263247863248806,26.0,will_not_meet,RR,Norte,5-20 mil,5965.0,-0.13925642786200323
1400605,10.200300450680515,-4.6063695543315335,21.0,will_not_meet,RR,Norte,5-20 mil,5433.0,-0.1443399084928244
1400704,94.01099502001739,-0.12812225368616503,18.0,at_risk,RR,Norte,<5 mil,1497.0,-0.76977514768872
1500107,0.0,-2.3412649572649884,26.0,will_not_meet,PA,Norte,50-100 mil,94374.0,-0.2104558887423266
1500131,138.15886287625744,2.615050167224146,10.0,on_track,PA,Norte,5-20 mil,6707.0,0.1623624564194166
