id_municipio,projecao_icr_2033_linear,inclinacao_icr_aa,n_obs,sigla_uf,regiao,porte,icr_sm_ultimo_observado,variacao_pp_ultimo_2033,acima_limite_internacional_2033
1502509,,,1.0,PA,Norte,<5 mil,0.0,,False
1502608,,,2.0,PA,Norte,<5 mil,0.8158422580648922,,False
1502707,1.2665798013503036,-0.20091762859638598,23.0,PA,Norte,20-50 mil,7.24453018250983,-5.977950381159526,False
1502756,0.6436353814085294,0.030410373705467012,7.0,PA,Norte,5-20 mil,0.2637900467583686,0.3798453346501608,False
1502764,,,2.0,PA,Norte,<5 mil,0.0,,False
1502772,3.3298562675006735,-0.05923344477905817,14.0,PA,Norte,5-20 mil,3.571745159429736,-0.2418888919290625,False
1502806,0.0,0.0,4.0,PA,Norte,5-20 mil,0.0,0.0,False
1502855,,,2.0,PA,Norte,5-20 mil,0.7079646017699115,,False
1502905,,,1.0,PA,Norte,5-20 mil,1.5773636187148128,,False
1502939,0.0,-0.573340482006032,22.0,PA,Norte,20-50 mil,4.469280021925463,-4.469280021925463,False
1502954,5.323331409092255,0.02013679140608624,14.0,PA,Norte,5-20 mil,5.1516324721644144,0.17169893692784033,True
1503002,0.7125681194295908,-0.16878332545890823,22.0,PA,Norte,5-20 mil,6.122273553266258,-5.409705433836668,False
1503044,,,1.0,PA,Norte,5-20 mil,0.0,,False
1503077,,,1.0,PA,Norte,5-20 mil,0.0,,False
1503093,0.0,0.0,3.0,PA,Norte,20-50 mil,0.0,0.0,False
1503101,0.0,-0.07931109500660845,6.0,PA,Norte,5-20 mil,0.0,0.0,False
1503200,0.0,-0.3591659716940587,7.0,PA,Norte,20-50 mil,2.7018591963683494,-2.7018591963683494,False
1503309,0.0,-0.3708113457090229,22.0,PA,Norte,20-50 mil,6.121878106614079,-6.121878106614079,False
1503408,1.5091009989059785,-0.1982908090655714,22.0,PA,Norte,<5 mil,6.919835477603242,-5.410734478697264,False
1503457,,,1.0,PA,Norte,5-20 mil,0.0,,False
1503507,,,2.0,PA,Norte,5-20 mil,0.0,,False
1503606,0.0,-0.8652524825154865,23.0,PA,Norte,50-100 mil,6.955629075350974,-6.955629075350974,False
1503705,1.3114324913577775,-0.1613943990861561,21.0,PA,Norte,20-50 mil,4.971073701792879,-3.659641210435102,False
1503754,2.483598044426458,0.043761542187428455,11.0,PA,Norte,<5 mil,0.7567300847731833,1.7268679596532746,False
1503804,0.0,-0.22477497884425635,22.0,PA,Norte,50-100 mil,4.456423533652503,-4.456423533652503,False
1503903,0.0,-0.36361192224057415,14.0,PA,Norte,5-20 mil,0.0,0.0,False
1504000,0.3505327649205583,-0.17664951159223186,22.0,PA,Norte,5-20 mil,6.292651144989694,-5.942118380069136,False
1504059,0.0,-0.345654324038923,5.0,PA,Norte,20-50 mil,0.0,0.0,False
1504109,0.0,-0.3146139114023103,22.0,PA,Norte,<5 mil,6.3359261707420735,-6.3359261707420735,False
1504208,1.3843383266655565,-0.29286762192230953,27.0,PA,Norte,100-500 mil,6.32575469676252,-4.941416370096963,False
1504307,3.000187094539001,0.03073441444456228,5.0,PA,Norte,5-20 mil,0.0,3.000187094539001,False
1504406,0.0,-0.3445013859657032,22.0,PA,Norte,5-20 mil,5.741980779673284,-5.741980779673284,False
1504422,0.0,-0.42824005864455345,25.0,PA,Norte,100-500 mil,6.929870503377308,-6.929870503377308,False
1504455,0.0,-0.01343684666953612,3.0,PA,Norte,5-20 mil,0.0,0.0,False
1504505,,,1.0,PA,Norte,5-20 mil,0.0,,False
1504604,2.362199277660551,-0.11136180883576514,22.0,PA,Norte,20-50 mil,6.008781502907006,-3.646582225246455,False
1504703,0.44191011529846946,-0.16826400601315103,23.0,PA,Norte,20-50 mil,6.435088490261666,-5.993178374963197,False
1504752,,,1.0,PA,Norte,5-20 mil,0.6648646176071044,,False
1504802,0.0,-0.37791806886699114,22.0,PA,Norte,20-50 mil,6.144434763750006,-6.144434763750006,False
1504901,0.0,-0.001092923623247603,6.0,PA,Norte,5-20 mil,0.0,0.0,False
1504950,,,1.0,PA,Norte,5-20 mil,4.435469888181438,,False
1504976,,,0.0,PA,Norte,5-20 mil,,,False
1505007,0.0,-0.41250619605236005,22.0,PA,Norte,5-20 mil,6.860612446147027,-6.860612446147027,False
1505031,3.4228970665718634,-0.17589483081495733,15.0,PA,Norte,5-20 mil,6.845286009249869,-3.4223889426780056,False
1505064,0.0,-0.3048766799048014,20.0,PA,Norte,20-50 mil,3.422737603305785,-3.422737603305785,False
1505106,0.0,-0.31496600492528065,21.0,PA,Norte,20-50 mil,6.237067074170444,-6.237067074170444,False
1505205,1.0831044894071624,-0.1577178739470898,22.0,PA,Norte,5-20 mil,6.465159093964705,-5.382054604557543,False
1505304,0.0,-0.5257693624627147,22.0,PA,Norte,20-50 mil,1.1439244916671751,-1.1439244916671751,False
1505403,0.0,-0.6329748562848645,22.0,PA,Norte,5-20 mil,7.423404976367203,-7.423404976367203,False
1505437,0.0,-0.12041391682604351,7.0,PA,Norte,20-50 mil,0.9225726448177716,-0.9225726448177716,False
1505486,,,0.0,PA,Norte,5-20 mil,,,False
1505494,,,0.0,PA,Norte,<5 mil,,,False
1505502,0.8308825997980875,-0.15937539457791963,21.0,PA,Norte,50-100 mil,3.5807607706932933,-2.749878170895206,False
1505536,0.0,-0.4480126888943077,19.0,PA,Norte,100-500 mil,2.737632277354457,-2.737632277354457,False
